Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
0022501168,"Apr 09, 2026",BOS @ NYK,L,40,7,22,0.318,2,10,0.2,8,10,0.8,13,8,1,1,6,1,24,-16
0022501149,"Apr 07, 2026",BOS vs. CHA,W,39,8,15,0.533,3,7,0.429,4,5,0.8,5,4,1,0,2,3,23,12
0022501132,"Apr 05, 2026",BOS vs. TOR,W,34,7,15,0.467,2,6,0.333,7,8,0.875,13,7,3,0,5,3,23,13
0022501126,"Apr 03, 2026",BOS @ MIL,W,31,8,16,0.5,4,8,0.5,3,4,0.75,11,9,3,0,2,1,23,30
0022501106,"Apr 01, 2026",BOS @ MIA,W,37,9,21,0.429,4,13,0.308,3,4,0.75,18,11,2,0,2,2,25,7
0022501085,"Mar 29, 2026",BOS @ CHA,W,31,12,23,0.522,5,10,0.5,3,5,0.6,5,8,0,1,0,2,32,15
0022501067,"Mar 27, 2026",BOS vs. ATL,W,37,8,24,0.333,2,8,0.25,8,10,0.8,12,5,0,0,2,1,26,1
0022501054,"Mar 25, 2026",BOS vs. OKC,W,35,5,12,0.417,3,6,0.5,6,6,1.0,12,7,3,1,5,2,19,2
0022501035,"Mar 22, 2026",BOS vs. MIN,L,31,6,16,0.375,2,7,0.286,2,3,0.667,11,2,2,0,1,0,16,-4
0022501019,"Mar 20, 2026",BOS @ MEM,W,31,3,15,0.2,2,9,0.222,5,6,0.833,9,0,0,0,3,2,13,-5
0022500999,"Mar 18, 2026",BOS vs. GSW,W,31,7,15,0.467,5,11,0.455,5,6,0.833,10,2,1,0,4,2,24,18
0022500986,"Mar 16, 2026",BOS vs. PHX,W,32,8,18,0.444,2,8,0.25,3,3,1.0,7,4,1,0,2,1,21,11
0022500971,"Mar 14, 2026",BOS vs. WAS,W,32,8,19,0.421,2,9,0.222,2,2,1.0,14,7,2,0,1,2,20,18
0022500942,"Mar 10, 2026",BOS @ SAS,L,27,10,24,0.417,4,14,0.286,0,0,0.0,5,2,2,0,1,1,24,-1
0022500921,"Mar 08, 2026",BOS @ CLE,W,27,6,16,0.375,2,9,0.222,6,7,0.857,3,2,0,0,1,1,20,-3
0022500908,"Mar 06, 2026",BOS vs. DAL,W,27,6,16,0.375,3,8,0.375,0,0,0.0,12,7,1,0,2,2,15,20
