PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,PTS,AST,BLK,FGM,FGA,FG3M,FG3A,FG_PCT
1630639,A.J. Lawson,TOR,24,101,7,4,34,78,19,45,0.436
1631260,AJ Green,MIL,78,809,152,8,262,618,232,554,0.424
1642358,AJ Johnson,DAL,48,160,47,3,57,176,12,57,0.324
203932,Aaron Gordon,DEN,36,582,96,10,198,398,61,157,0.497
1628988,Aaron Holiday,HOU,57,312,60,5,105,252,67,170,0.417
1630174,Aaron Nesmith,IND,45,621,86,23,212,512,105,277,0.414
1630598,Aaron Wiggins,OKC,65,611,109,28,231,536,96,270,0.431
1642846,Ace Bailey,UTA,72,993,131,49,395,892,137,398,0.443
1642380,Adama Bal,MEM,8,83,19,1,28,68,18,44,0.412
1641737,Adem Bona,PHI,71,344,32,82,131,220,2,6,0.595
